Instância,Ocorrência
aki,3
aq,3
bjs,15
blz,21
cap,6
cm,190
cmg,1
ctz,6
dmais,3
dms,55
doq,1
dp,6
dps,6
dr,66
f1,1
fdp,10
fdps,1
flw,1
hj,1770
kd,36
mds,300
mlk,1540
msg,1
msm,325
mt,666
mta,3
mto,351
mtos,3
mts,10
n,5886
nada,78210
nao,91378
nd,36
ngm,6
nn,3
obg,91
obgd,3
oq,1326
p,11026
pfv,10
pprt,1
pq,25651
pv,3
q,349866
qd,10
qdo,253
qt,1
rt,1
s,1431
sdd,1
sdds,3
slc,10
slk,15
sm,1
sqn,1
t,231
tb,666
tbm,3916
td,210
tds,136
tmj,9870
v6,1
vc,4426800
vcs,17578
vdd,1176
vdds,3
vlw,15
vsf,3
vtnc,3
yt,6
zap,45
