Instância,Ocorrência
bafômetro,6
baita,210
barato,10
bebedeira,1
bicho,190
bico,6
bolado,3
brisa,1
brother,78
cabra,231
caraio,3
chapada,1
chapado,6
corre,6
cringe,1
da hora,171
daora,1
demais,48828
fake,210
feke,1
firmeza,45
gado,276
goró,3
irado,3
lacra,6
lacrando,6
lacrar,66
lacração,66
lacrou,21
mala,10
maneiro,3
mano,11175
manos,1
massa,300
miga,3
migo,1
mina,3
minas,20301
mitando,1
mito,4656
mitos,1
mitou,36
paia,1
papagaio,21
pegada,6
perrengue,1
pivete,3
presepada,1
pá,6
quebrado,6
ralo,1
ralé,3
ranço,10
resenha,3
safada,15
safado,1540
serumano,1
show,20301
suave,3
top,13203
topzera,1
trampo,3
tranquilo,55
treta,15
vacilou,15
vacilão,3
vaza,6
vazando,1
véi,105
véia,1
véio,231
zerado,1
zica,6
zoado,1
zoando,3
zoar,1
zona,6
zueira,3
zé ruela,3
