Instância,Ocorrência
babaca,253
babacas,1
bosta,2016
bostas,15
cacete,10
cagão,3
canalha,1653
canalhas,1653
caraio,3
caralho,528
caralhos,1
cu,91
escrota,21
escroto,66
escrotos,1
estúpida,3
estúpido,10
estúpidos,10
filho da puta,3
foda,21945
foder,6
fodidos,1
idiota,1953
idiotas,378
imbecil,325
imbecis,55
kralho,6
krl,36
lixo,8128
lixos,561
merda,7875
merdas,120
otário,36
otários,3
pica,15
pilantra,561
pilantras,105
piranha,1
piranhas,1
poha,15
porra,1770
porras,6
putaria,28
retardado,15
retardados,15
safada,15
safado,1540
safados,406
trouxa,36
trouxas,15
vagabunda,3
vagabundas,1
vagabundo,7021
vagabundos,3321
