Instância,Ocorrência
abortado-a,3
acha-se,1
acuse-os,1
afastá-lo,1
agrada-me,1
ajude-nos,1
ajudá-lo,3
aracaju-se,1
aracajú-se,1
arrepender-se,1
assisti-lo,3
beneficia-los,1
ca-na,1
candidata-se,1
capacita-lo,1
capacitando-o,1
casar-se,1
casarem-se,1
cassa-lo,1
chama-me,1
chama-se,1
chamá-lo,3
chegou-me,1
clama-lo,3
colocá-lo,3
com-as,10
concedendo-lhe,1
concorrer-a,10
convença-me,1
critica-lo,1
cuide-se,1
da-lhe,15
dai-lhe,6
defenda-nos,1
defendei-nos,3
defender-se,1
defini-los,1
dei-me,1
deixá-lo,1
derruba-lo,1
desafia-lo,1
desagrada-me,1
desculpe-me,1
desejo-lhe,1
desmacara-lo,1
deve-se,1
diga-se,1
dirijo-me,1
disseram-me,1
dá-lhe,45
dá-lhes,1
eis-me,1
elege-lo,3
entrevista-lo,1
entrevistrá-los,1
falta-lo,1
faze-lo,1
fazê-lo,1
faça-me,1
ferrando-nos,1
foda-se,6
fooooooda-se,1
humilhem-se,1
jogue-a,1
julga-los,1
larga-lo,1
lascou-se,1
lembrai-vos,1
lembre-se,6
lembrem-se,1
lembro-me,3
leva-lo,1
livra-nos,1
livra-o,1
livrai-nos,6
livrando-o,1
mantenha-se,6
manteve-se,1
matá-los,1
movimentaram-se,1
obriga-los,1
odia-lo,1
ofende-lo,1
ouvi-lo,10
ouvi-los,1
pegá-lo,1
pendura-os,1
percebe-se,1
posicione-se,1
prepara-se,1
prepara-te,1
prepare-se,1
protegendo-o,1
prova-me,1
provem-me,1
purificando-o,1
pôde-se,1
pôr-se,1
que-se,10
reconciliar-te,3
reduzindo-as,1
referir-se,1
representa-los,1
representa-me,1
retifica-lo,1
revela-se,1
sabe-se,1
salve-se,1
sente-se,1
sinta-se,1
sinto-me,1
socorre-nos,1
taca-lhe,1
tenho-o,1
ter-lo,1
tira-los,1
tirar-los,1
tirá-lo,1
torna-se,1
torna-te,3
torná-lo,1
transformando-o,1
trata-se,1
trava-se,1
tê-lo,10
tê-á,1
usando-o,1
ver-se,10
versus-o,1
vê-lo,36
vê-los,1
