Instância,Ocorrência
bafafá,1
baita,276
barato,210
bicho,406
bico,120
bolada,1
bolado,3
brisa,3
brisado,1
brother,10
cabra,105
caraio,15
chapada,1
chapado,1
corre,190
cracudo,1
cringe,2701
da hora,1653
daora,28
demais,31125
exposed,3
fak,6
fake,59685
feke,36
firmeza,6
fita,6
gad,1
gado,9591
hype,10
irado,1
lacrando,1
lacrar,120
lacração,6
lacrou,6
lombra,1
mago,1
mala,378
maneiro,3
mano,2415
manos,10
massa,1485
miga,1
migo,1
mina,28
minas,496
mito,2145
mitos,1
paia,6
pampa,1
papagaio,10
pegada,3
pelego,55
perrengue,1
pivete,1
porre,3
pá,15
quebrado,36
ralado,1
ralo,15
ralé,3
ranço,6
resenha,1
role,1
rolê,3
safada,1
safado,2415
se achar,15
show,6105
suave,6
sussa,1
tankei,1
tiltado,1
tirar onda,1
top,741
trampo,15
tranquilo,45
treta,78
tretas,3
vacilão,6
vaza,10
vazado,3
véi,45
véia,10
véias,1
véio,820
zica,3
zoa,3
zoando,6
zoar,1
zoeira,3
zona,15
zueira,6
zé ruela,28
