Instância,Ocorrência
arrombado,1
babaca,561
babacas,105
bosta,4371
bostas,36
cacete,91
cagona,1
cagão,66
cagões,3
canalha,10731
canalhas,10585
caraio,15
caralho,780
caralhos,1
cu,171
cus,1
escrota,66
escrotas,3
escroto,136
escrotos,66
estúpida,1
estúpidas,1
estúpido,45
estúpidos,3
filha da puta,1
filhas da puta,1
foda,6555
foder,28
fodida,1
fodidos,3
idiota,4656
idiotas,3486
imbecil,1431
imbecis,378
krl,10
lixo,33670
lixos,741
m3rda,3
merda,21528
merdas,91
otária,1
otário,171
otários,66
pica,6
picas,3
pilantra,406
pilantras,210
piranha,6
piranhas,1
poha,10
porra,2278
porras,3
putaria,15
retardadas,1
retardado,10
retardados,66
safada,1
safadas,1
safado,2415
safados,435
trouxa,78
trouxas,91
vadias,3
vagabunda,21
vagabundas,3
vagabundo,10153
vagabundos,8778
