Instância,Ocorrência
-á,1
1-o,1
abandoná-lo,1
acha-se,1
aciona-lo,1
acompanha-lo,1
acompanhá-los,1
acuse-me,1
acuse-os,6
afasta-te,1
ajudá-los,1
amo-ás,1
apoia-se,3
apoiando-o,1
aposenta-los,1
apresenta-lo,1
apresentando-o,1
apressa-te,1
atreveu-se,1
busca-se,1
cai-lhe,1
camuflar-se,1
candidate-se,1
chama-los,1
chama-se,3
chame-os,1
chamá-lo,6
coloca-los,1
coloca-se,1
combatê-lo,3
complicou-se,1
conceder-se,1
conhece-lo,1
conhecer-lo,1
conhecê-lo,1
considerá-lo,1
conte-nos,1
convida-o,1
cria-los,1
criou-se,1
criticá-lo,1
cuida-se,1
cumpra-se,3
d-a,1
da-lhe,6
defenda-se,1
defende-los,1
deixe-me,3
deixem-me,1
deixou-os,1
deixá-los,1
denuncia-se,1
depende-se,1
derrota-los,1
derruba-lo,1
derrubá-lo,1
desculpem-nos,1
desmoraliza-lo,1
deve-se,10
deveria-se,1
difere-se,1
diga-se,1
dizem-se,1
dizer-se,1
dá-lhe,55
dá-se,1
dê-se,1
elege-lo,1
elege-se,1
elegê-lo,1
encontra-se,1
encontrei-o,1
enfrenta-lo,1
enganan-se,1
entenda-se,1
entende-se,1
entendê-lo,1
entre-as,1
entrevista-se,1
envia-lo,6
equilibrando-se,1
estender-se,1
extingui-lo,1
f-o,1
fala-se,3
falar-vos,1
fale-se,1
faltounchama-lo,1
favorece-lo,1
faz-o,1
faz-se,1
faze-lo,1
fazer-se,1
fazê-lo,6
feminicidios-os,1
ferrou-se,1
foda-se,36
fodam-se,3
foi-se,1
ganharam-o,1
gay-o,1
imputando-lhe,1
informa-te,1
informem-se,1
iniciou-se,1
inscreva-se,3
inscrevam-se,10
interrompe-lo,1
lasque-se,1
lembrem-se,3
lembren-se,1
lembro-me,3
len-te,1
levá-lo,1
m-se,1
mante-los,1
manter-se,3
mantê-lo,1
matá-lo,1
men-te,1
misture-se,1
mulher-na,1
nota-se,3
obtê-los,1
odeia-o,1
odiá-lo,1
oivi-lo,1
ouvi-lo,6
ouvi-los,1
ouví-lo,1
percebe-se,1
peço-lhe,15
pode-se,3
precisa-se,1
premia-los,1
prendê-lo,1
prepare-se,1
processa-lo,1
processá-los,1
procura-se,1
procurá-lo,1
protege-lo,1
protegê-lo,1
pôde-se,1
quando-as,1
que-o,1
recebe-lo,1
recebê-lo,1
recomendo-o,1
reconstruir-se,1
reencontra-lo,1
referiu-se,1
refuta-los,1
representa-los,1
responsabilize-o,1
ressalta-se,1
resumem-se,1
salva-lo,1
salvá-lo,1
sinto-me,1
solta-los,1
soma-se,1
superá-lo,1
taca-lhe,1
tem-se,1
tire-o,1
tirá-los,1
tomar-lhes,1
torna-se,1
tornar-se,1
torne-se,1
tornem-se,1
tornou-se,3
torná-lo,1
transforma-lo,1
trata-se,6
tratá-los,1
traze-lo,1
tê-lo,3
tê-los,1
uni-vos,15
unir-vos,1
usá-lo,1
valha-nos,3
vende-se,1
vivencia-se,1
vê-lo,1
vê-los,1
vê-se,1
é-se,1
